heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,Date/Time,PV_generation,Temperature
7.27139,0.041142,0.0,0.027759,0.045189,0.0,0.166187,0.239135,7.312532,0.0, 01/07  06:00:00,0.0,-14.535
7.359228,0.041142,0.514273,0.065169,0.067773,0.025,0.186331,0.344273,7.40037,0.514273, 01/07  07:00:00,0.0,-14.938
7.284329,0.041142,0.0,0.08247,0.094854,0.005,0.211511,0.393835,7.325470999999999,0.0, 01/07  08:00:00,0.206,-15.308
5.251559,0.045713,0.498647,0.087643,0.230024,0.0,0.216547,0.534214,5.297272,0.498647, 01/07  09:00:00,2.078,-15.278
4.847593,0.041142,0.0,0.09009,0.193337,0.0,0.216547,0.499974,4.888735,0.0, 01/07  10:00:00,4.161,-15.076
5.453542,0.039999,0.0,0.087641,0.094854,0.0,0.216547,0.399042,5.493541,0.0, 01/07  11:00:00,5.308,-14.733
6.059491,0.041142,0.0,0.084247,0.106848,0.0,0.221583,0.412678,6.100633,0.0, 01/07  12:00:00,6.092,-14.454
4.241644,0.037713,0.849045,0.081798,0.118937,0.0,0.226619,0.427354,4.279357,0.849045, 01/07  13:00:00,5.719,-14.311
6.059491,0.041142,0.315075,0.081077,0.102446,0.0,0.226619,0.410142,6.100633,0.315075, 01/07  14:00:00,5.026,-14.291
3.635695,0.041142,0.0,0.082929,0.118937,0.0,0.221583,0.42344899999999996,3.676837,0.0, 01/07  15:00:00,3.657,-14.468
4.847593,0.04457,0.0,0.093126,0.09865,0.0,0.231655,0.423431,4.892163,0.0, 01/07  16:00:00,1.495,-14.871
4.241644,0.042284,0.0,0.117422,0.173005,0.0,0.241727,0.532154,4.283928,0.0, 01/07  17:00:00,0.038,-15.663
7.27139,0.03657,0.0,0.155244,0.26315,0.025,0.26187,0.705264,7.3079600000000005,0.0, 01/07  18:00:00,0.0,-16.812
7.27139,0.04457,0.0,0.183734,0.21527,0.005,0.266906,0.67091,7.3159600000000005,0.0, 01/07  19:00:00,0.0,-17.625
4.847593,0.037713,0.0,0.177507,0.128218,0.0,0.251798,0.557523,4.885306,0.0, 01/07  20:00:00,0.0,-18.143
4.847593,0.041142,0.451406,0.142545,0.08994,0.0,0.236691,0.46917600000000004,4.888735,0.451406, 01/07  21:00:00,0.0,-18.542
4.847593,0.041142,0.429812,0.107641,0.07415,0.0,0.226619,0.40840999999999994,4.888735,0.429812, 01/07  22:00:00,0.0,-18.873
