heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
3.6356949999999997,0.041142000000000005,3.1742150000000002,0.08247,0.094854,0.005,0.211511,0.393835,3.6768370000000004,3.1742150000000002,0.23199999999999998,-16.22,1,5,7
2.423797,0.041142000000000005,0.304902,0.087643,0.12613,0.0,0.216547,0.43032,2.464939,0.304902,3.168,-15.845999999999998,1,5,8
5.453542,0.04457,0.0,0.09009,0.104647,0.0,0.216547,0.41128400000000004,5.498112,0.0,6.106,-15.089,1,5,9
3.029746,0.041142000000000005,0.0,0.087641,0.094854,0.0,0.216547,0.399042,3.070888,0.0,7.989,-14.374,1,5,10
3.029746,0.041142000000000005,0.672726,0.084247,0.2497,0.0,0.221583,0.55553,3.070888,0.672726,7.6770000000000005,-13.72,1,5,11
3.6356949999999997,0.037712999999999997,0.0,0.081798,0.11893699999999999,0.0,0.22661900000000001,0.427354,3.673408,0.0,4.013999999999999,-13.33,1,5,12
3.6356949999999997,0.041142000000000005,0.49202299999999993,0.081077,0.18495799999999998,0.0,0.22661900000000001,0.492654,3.6768370000000004,0.49202299999999993,4.3660000000000005,-13.03,1,5,13
2.423797,0.041142000000000005,0.0,0.082929,0.11893699999999999,0.0,0.221583,0.423449,2.464939,0.0,1.285,-13.059000000000001,1,5,14
3.6356949999999997,0.041142000000000005,0.0,0.093126,0.09865,0.0,0.23165500000000003,0.42343100000000006,3.6768370000000004,0.0,0.32799999999999996,-13.228,1,5,15
6.059491,0.041142000000000005,0.0,0.117422,0.173005,0.0,0.241727,0.532154,6.100633,0.0,0.0,-13.424000000000001,1,5,16
2.423797,0.041142000000000005,0.5949770000000001,0.155244,0.39152600000000004,0.025,0.26187,0.8336399999999999,2.464939,0.5949770000000001,0.0,-13.258,1,5,17
4.847593,0.041142000000000005,0.019946000000000002,0.18373399999999998,0.21527,0.005,0.266906,0.67091,4.888735,0.019946000000000002,0.0,-12.88,1,5,18
6.059491,0.041142000000000005,0.0,0.177507,0.128218,0.0,0.251798,0.557523,6.100633,0.0,0.0,-12.415,1,5,19
6.059491,0.041142000000000005,0.0,0.142545,0.08993999999999999,0.0,0.23669099999999998,0.469176,6.100633,0.0,0.0,-11.975,1,5,20
7.271389999999999,0.041142000000000005,0.0,0.10764100000000001,0.07415,0.0,0.22661900000000001,0.40841,7.312532000000001,0.0,0.0,-11.744000000000002,1,5,21
7.271389999999999,0.041142000000000005,0.0,0.094099,0.059063,0.0,0.201439,0.354601,7.312532000000001,0.0,0.0,-11.575,1,5,22
6.059491,0.041142000000000005,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,6.100633,0.0,0.0,-11.368,1,5,23
3.6356949999999997,0.041142000000000005,2.133477,0.022749000000000002,0.72329,0.0,0.176259,0.922298,3.6768370000000004,2.133477,0.0,-11.227,1,6,0
4.847593,0.041142000000000005,0.94591,0.013649000000000001,0.22346100000000002,0.0,0.166187,0.40329699999999996,4.888735,0.94591,0.0,-11.129000000000001,1,6,1
1.211898,0.041142000000000005,0.0,0.009099,0.036289,0.0,0.161151,0.206539,1.25304,0.0,0.0,-11.007,1,6,2
3.6356949999999997,0.041142000000000005,0.0,0.009099,0.035492,0.0,0.156115,0.200706,3.6768370000000004,0.0,0.0,-10.99,1,6,3
4.847593,0.041142000000000005,0.0,0.010117000000000001,0.039192000000000005,0.0,0.161151,0.21046,4.888735,0.0,0.0,-11.265,1,6,4
4.847593,0.041142000000000005,0.0,0.027759,0.045189,0.0,0.166187,0.239135,4.888735,0.0,0.0,-11.821,1,6,5
6.059491,0.041142000000000005,0.0,0.065169,0.067773,0.025,0.186331,0.344273,6.100633,0.0,0.0,-12.501,1,6,6
3.6356949999999997,0.041142000000000005,0.0,0.08247,0.094854,0.005,0.211511,0.393835,3.6768370000000004,0.0,0.249,-13.083,1,6,7
3.029746,0.04457,0.41487799999999997,0.087643,0.101649,0.0,0.216547,0.405839,3.074316,0.41487799999999997,2.594,-12.522,1,6,8
4.847593,0.041142000000000005,0.476934,0.09009,0.104647,0.0,0.216547,0.41128400000000004,4.888735,0.476934,5.122000000000001,-11.475999999999999,1,6,9
4.241644,0.041142000000000005,0.25772,0.087641,0.094854,0.0,0.216547,0.399042,4.282786,0.25772,6.934,-10.877,1,6,10
6.665441,0.037712999999999997,0.0,0.084247,0.106848,0.0,0.221583,0.412678,6.7031540000000005,0.0,8.482999999999999,-10.353,1,6,11
6.059491,0.041142000000000005,0.784523,0.081798,0.11893699999999999,0.0,0.22661900000000001,0.427354,6.100633,0.784523,8.302999999999999,-9.919,1,6,12
6.059491,0.041142000000000005,0.0,0.081077,0.10244600000000001,0.0,0.22661900000000001,0.410142,6.100633,0.0,6.348,-9.658999999999999,1,6,13
6.059491,0.041142000000000005,0.0,0.082929,0.11893699999999999,0.0,0.221583,0.423449,6.100633,0.0,2.5140000000000002,-9.541,1,6,14
6.059491,0.041142000000000005,0.0,0.093126,0.09865,0.0,0.23165500000000003,0.42343100000000006,6.100633,0.0,0.547,-9.606,1,6,15
5.453542,0.04457,0.442532,0.117422,0.173005,0.0,0.241727,0.532154,5.498112,0.442532,0.0,-9.824,1,6,16
6.059491,0.041142000000000005,0.552925,0.155244,0.26315,0.025,0.26187,0.705264,6.100633,0.552925,0.0,-10.003,1,6,17
3.6356949999999997,0.041142000000000005,4.445056,0.18373399999999998,0.21527,0.005,0.266906,0.67091,3.6768370000000004,4.445056,0.0,-10.146,1,6,18
